1|2|0.95
1|5|0.82
1|8|0.70
1|9|0.65
1|10|0.60
1|3|0.30
1|4|0.25

2|5|0.88
2|8|0.75
2|9|0.70
2|10|0.68
2|3|0.28
2|4|0.22

5|8|0.93
5|9|0.90
5|10|0.88
5|1|0.80
5|2|0.78
5|11|0.40

8|9|0.94
8|10|0.92
8|5|0.85
8|2|0.70
8|12|0.55
8|13|0.50

9|10|0.96
9|8|0.93
9|5|0.82
9|2|0.68
9|14|0.45

10|9|0.97
10|8|0.91
10|5|0.84
10|2|0.72
10|15|0.42

3|4|0.90
3|6|0.88
3|7|0.85
3|11|0.60
3|12|0.55
3|1|0.30

4|6|0.92
4|7|0.90
4|3|0.88
4|13|0.58
4|14|0.50
4|2|0.25

6|7|0.95
6|3|0.87
6|4|0.93
6|15|0.60
6|16|0.55
6|11|0.40

7|6|0.94
7|4|0.89
7|3|0.83
7|17|0.58
7|18|0.52
7|12|0.38

11|12|0.92
11|13|0.88
11|14|0.85
11|15|0.80
11|3|0.60
11|5|0.35

12|13|0.93
12|14|0.90
12|15|0.87
12|16|0.83
12|8|0.50
12|6|0.45

13|14|0.94
13|15|0.91
13|16|0.88
13|17|0.84
13|4|0.55
13|7|0.50

14|15|0.95
14|16|0.92
14|17|0.89
14|18|0.86
14|9|0.48
14|10|0.40

15|16|0.96
15|17|0.93
15|18|0.90
15|19|0.87
15|10|0.42
15|5|0.38

16|17|0.97
16|18|0.94
16|19|0.91
16|20|0.88
16|6|0.50
16|12|0.45

17|18|0.98
17|19|0.95
17|20|0.92
17|7|0.48
17|13|0.44
17|15|0.60

18|19|0.96
18|20|0.93
18|17|0.90
18|14|0.55
18|16|0.52
18|8|0.40

19|20|0.97
19|18|0.94
19|17|0.91
19|15|0.88
19|16|0.85
19|9|0.45

20|19|0.98
20|18|0.95
20|17|0.92
20|16|0.89
20|14|0.60
20|10|0.50
